repeat,mse_OLS,mse_Huber,mse_rho,mae_OLS,mae_Huber,mae_rho
92,0.058416576883081446,0.01606714753522662,0.038131579297731345,0.18726283415945946,0.08736507664358095,0.14979864188831069
93,0.07090060414309253,0.018543640172289204,0.05686277243103169,0.19512549809454252,0.09307029445287557,0.17468292151428913
94,0.16708540651397996,0.06534495367802144,0.13520146536232608,0.2407085448367822,0.11402980660212042,0.20325284185007725
95,0.10121628183203413,0.04541295819460324,0.09084562107284144,0.20613523692054714,0.09680430039591724,0.18794011651226455
96,0.08612595732398934,0.047439736958167486,0.08916592076599368,0.19505602596098512,0.10726885364229953,0.18169387159106487
97,0.08046871951923734,0.04602957120870327,0.06449411152821047,0.19191542499251957,0.09844411320118564,0.16195122238837825
98,0.06165697103837261,0.014351276481601184,0.039885911367872624,0.18665423121227612,0.0891253893614815,0.14898359365604927
99,0.06839500447372432,0.046644189072802884,0.06707632839582078,0.17298568066601247,0.10175193092800305,0.1603269399883577
100,0.0832181225179615,0.02047116336692402,0.08210917860309433,0.202587819187933,0.09481993107325118,0.18867539537100722
101,0.0696566801503481,0.01714164267292604,0.06086423103932563,0.1949084546086305,0.09143566691868207,0.1790628742001532
102,0.05514362199787835,0.03543358428308405,0.06825512519484035,0.16641883420764975,0.11184898018943572,0.17502626697803902
103,0.07614319937379131,0.02868109471046926,0.07235934077668091,0.1911408772816274,0.10100489213568628,0.1735700331908736
104,0.0728153801243325,0.026930571805283035,0.05688760389497531,0.19727156263201032,0.09396866933728806,0.165387476612416
105,0.05184392532733131,0.015130821269482194,0.04941691445748267,0.177318079846414,0.08719312991434183,0.16481535524921792
106,0.10886643151541842,0.04776848179210275,0.18929988734439274,0.22168757899336256,0.10074923146837673,0.22211956614508319
107,0.04296921758581919,0.012786497658805669,0.03145363140080187,0.15695532140048057,0.07581166586464963,0.13448709674015405
108,0.09584293132041637,0.051012046523611826,0.0818180880066244,0.19784407096552073,0.09558963796878152,0.17793660727921562
109,0.08124795735368483,0.01457654636887183,0.0887415472537028,0.1866994235163483,0.0863256155158108,0.1850383409619155
110,0.11221150656503398,0.019764760228336224,0.08164886077237207,0.2165505781502158,0.10445310917876624,0.17361251435026798
111,0.0875397307391892,0.050364879618933454,0.07737767291713964,0.2147212357748378,0.1047999943373239,0.1855811740572743
