repeat,mse_OLS,mse_Huber,mse_rho,mae_OLS,mae_Huber,mae_rho
162,5.473628572758186,5.266025995288102,60.610520054738615,1.6527631271593248,1.588570055171942,7.182159915857136
163,4.65081006703324,4.5654312314528624,63.34067982371325,1.5945254500670034,1.5159828745523622,7.371516238629093
164,4.353502157105572,4.218605410354809,60.67176862807125,1.5337010205136872,1.4500847053836525,7.276932555980759
165,5.152970542533368,5.120479005121449,62.35677136668901,1.6028198124545754,1.5500145626595658,7.343342250579454
166,4.084982406657848,4.0126919676325015,59.13483225831479,1.5546376744161314,1.4605519378153708,7.188281774563634
167,5.771128753829518,5.407450219932173,64.26157977792084,1.7739826804276462,1.6004207053332853,7.395706023694258
168,4.858587390526761,4.407401423553999,58.97672420409822,1.5666151202660725,1.47362369757327,7.144001882383626
169,4.936425401908676,4.908032860519094,61.386069697207084,1.6709845822267742,1.577035189774536,7.231214318152573
170,6.552873187518068,4.965267535395657,59.53983548775854,1.6317445777405155,1.4829754468774665,7.155453008412023
171,5.428722486069631,5.005614416350799,63.83096125072923,1.6584708431209263,1.554886243398187,7.367343657427088
172,5.272798072410926,5.034416723878691,61.44374821915938,1.5871777995113998,1.5408510078323447,7.223626853341917
173,5.706237022861506,5.560145691915362,62.70660861394794,1.6554378185546867,1.6101283165383273,7.385230968193672
174,4.50279372331229,4.45323327018273,62.33270835812878,1.5836759705642556,1.5019959985038691,7.3857057397134644
175,5.461539164048971,5.29517026827682,62.74633352746292,1.7907984807634638,1.637858358829276,7.350794380817926
176,7.416539030011316,5.069084308338792,61.01493537046274,1.6600199277419334,1.5205407792329353,7.262302302607836
177,4.739611191019793,4.215814667733935,58.47282769331082,1.6668849517007809,1.4832268988586064,7.124340007106488
178,5.332496620860849,5.295827283908194,63.61161138268611,1.6332678210529057,1.5954082643507852,7.340253595716777
179,5.177283266226689,4.947711448725694,61.30407923505099,1.718421031947825,1.5951136839100626,7.313669776887866
180,5.345836703256547,4.646009890800474,59.92654742922321,1.6084568211911325,1.4929403820064409,7.176712799136459
181,5.42707701655681,5.296996994868246,61.30190030574775,1.649037411678537,1.5848801996345732,7.239110505832239
182,6.65404351567313,5.5408286703876755,61.451454070126665,1.6681946968587023,1.58632561340363,7.253304220874592
183,4.83945099492313,4.919140446774084,61.84157030384804,1.574908374096004,1.5202122599145937,7.308732714240934
184,5.0573302154449795,5.018037723609147,62.057052332723,1.6395238728810393,1.5607876795673787,7.2904212620184445
185,4.670965649408474,4.499486782092378,59.80513465635266,1.6092947542509,1.5403013772568992,7.253924365104947
186,4.5959250897483965,4.649334128275106,61.7281540346578,1.5554430717387944,1.5064900268174672,7.295620764293451
187,4.902113174927216,4.802176462866707,61.35511656222923,1.6292424530875975,1.5640003099767839,7.348806520170856
188,5.24840445880776,5.054310711792356,58.71380839293771,1.6872201974055634,1.5805171538288179,7.114017192816674
189,5.280497456512466,5.362855607099567,65.32510306326719,1.643352809534264,1.5835563621101696,7.452087412094958
190,4.921583369227881,4.739964532490957,60.2609374535704,1.5826957371136758,1.5448158185218017,7.203754026858832
191,5.238838226369049,5.016114007190805,61.665259563179966,1.6323931332278003,1.5422305406819954,7.328202459424287
192,5.550532988968889,5.299000230104496,61.27988048291423,1.6902643756479978,1.6063769475238365,7.232702639474588
193,4.892498263055579,4.511682327895528,60.381663381102484,1.6335518820236845,1.4743443093548592,7.195496734596535
194,6.4937861801942836,6.118368209835741,63.61536774160379,1.7888612104798376,1.6948811260019605,7.435069942931302
195,4.739413812666947,4.779908152474693,61.41679567636939,1.5877659318445907,1.5292566949716553,7.308491003586381
196,4.680515592264629,4.197499696637702,56.82697328287623,1.6116485523700472,1.4956307209740787,7.047305291324468
197,5.738011638031372,5.817775323952972,64.20005369080263,1.6895897443987091,1.6527430273970811,7.384747460534949
198,5.077616806998253,5.057866409595252,63.868445205908,1.6174284729691077,1.561295140888887,7.3852603911157555
199,4.656083106156908,4.492000615783872,60.58661102886289,1.6026802047938993,1.5288807736269372,7.155226585056481
200,4.955326422901302,4.761348361898268,61.65273089956602,1.6043127010563678,1.517780421538714,7.2392393436076246
201,4.5719394481978535,4.229387606916022,57.5835985787251,1.5950343279781793,1.4450824758313243,7.086506713995115
202,5.07040830441028,4.881494611335421,61.58400729094757,1.6345179736857616,1.535121363944821,7.289322019846863
203,4.684752720012438,4.52231780505367,59.006080615386146,1.5783883789795026,1.4722708475078226,7.1446507001469115
204,4.885390636810285,4.694263935912924,58.706191070783674,1.613032222562639,1.5367932537252094,7.13318281047308
205,5.214123302455354,5.216867879814156,64.19202695697683,1.7082215764798496,1.5842559139495116,7.359423470036629
